2022-05-28 13:40:47 (EDT) [INFO] -  
2022-05-28 13:41:06 (EDT) [INFO] -  
2022-05-28 13:41:48 (EDT) [INFO] -  
2022-05-28 13:42:15 (EDT) [INFO] -  
2022-05-28 13:42:26 (EDT) [INFO] -  
2022-05-28 13:42:54 (EDT) [INFO] -  
2022-05-28 13:43:32 (EDT) [INFO] -  
2022-05-28 13:43:33 (EDT) [INFO] -  
2022-05-28 13:43:33 (EDT) [INFO] -  
2022-05-28 13:43:33 (EDT) [INFO] -  
2022-05-28 13:43:55 (EDT) [INFO] -  
2022-05-28 13:44:14 (EDT) [INFO] - GET /hello-world/dejan
2022-05-28 13:44:14 (EDT) [INFO] - GET /hello-world/dejan
2022-05-28 13:44:14 (EDT) [INFO] - GET /hello-world/dejan
2022-05-28 13:44:15 (EDT) [INFO] - GET /hello-world/dejan
2022-05-28 13:45:26 (EDT) [INFO] - 192.168.2.47 GET /hello-world/dejan
2022-05-28 13:45:26 (EDT) [INFO] - 192.168.2.47 GET /hello-world/dejan
2022-05-28 13:45:26 (EDT) [INFO] - 192.168.2.47 GET /hello-world/dejan
2022-05-28 13:45:26 (EDT) [INFO] - 192.168.2.47 GET /hello-world/dejan
2022-05-28 13:52:29 (EDT) [INFO] - 192.168.2.47 GET /hello-world/dejan
2022-05-28 13:53:21 (EDT) [INFO] - 192.168.2.47 GET /hello-world/dejan
2022-05-28 14:12:05 (EDT) [INFO] - 192.168.2.47 GET /hello-world/dejan
2022-05-28 14:12:06 (EDT) [INFO] - 192.168.2.47 GET /hello-world/dejan
2022-05-28 14:12:06 (EDT) [INFO] - 192.168.2.47 GET /hello-world/dejan
2022-05-28 14:12:06 (EDT) [INFO] - 192.168.2.47 GET /hello-world/dejan
2022-05-28 14:12:15 (EDT) [INFO] - 192.168.2.47 GET /
2022-05-28 14:12:39 (EDT) [INFO] - 192.168.2.47 GET /
2022-05-28 14:12:40 (EDT) [INFO] - 192.168.2.47 GET /
2022-05-28 14:12:41 (EDT) [INFO] - 192.168.2.47 GET /
2022-05-28 14:12:48 (EDT) [INFO] - 192.168.2.47 GET /
2022-05-28 14:13:10 (EDT) [INFO] - 192.168.2.47 GET /
2022-05-28 14:13:37 (EDT) [INFO] - 192.168.2.47 GET /
2022-05-28 14:13:54 (EDT) [INFO] - 192.168.2.47 GET /aa
2022-05-28 14:46:05 (EDT) [INFO] - 192.168.2.47 GET /aa
2022-05-28 14:46:30 (EDT) [INFO] - 192.168.2.47 GET /aa
2022-05-28 14:46:40 (EDT) [INFO] - 192.168.2.47 GET /aa
2022-05-28 14:47:05 (EDT) [INFO] - 192.168.2.47 GET /aa
